distance_km,engine_size,cylinders,driving_style,elevation_change,fuel_type,temperature,fuel_consumption
192.56,3.0,6,0,407.67,1,22.6,21.65
75.17,2.0,4,0,-271.82,1,8.14,5.0
253.95,2.4,4,2,-2.02,1,35.45,34.82
461.0,3.6,6,0,41.85,0,44.81,43.63
466.94,2.0,4,1,-403.77,0,30.12,30.16
124.77,3.5,6,2,395.83,1,1.62,16.93
146.83,2.5,4,0,-460.13,0,20.08,7.3
461.16,2.0,4,2,-19.78,0,8.97,44.81
452.09,1.5,4,1,260.81,1,32.12,43.87
129.62,3.0,6,1,-320.69,0,36.39,12.29
251.43,2.0,4,2,-420.64,0,5.96,25.22
125.25,2.0,4,1,296.39,0,18.21,12.5
317.38,1.8,4,2,-98.34,1,30.52,26.6
48.21,2.0,4,1,100.72,1,15.03,4.79
62.11,3.0,6,2,-9.74,1,3.63,10.28
29.63,5.3,8,1,196.17,0,20.2,4.48
444.04,3.0,6,2,-363.88,1,16.06,56.74
274.0,3.0,8,0,-339.66,0,9.15,32.25
74.29,3.0,6,2,-329.46,1,26.25,9.03
353.18,2.0,4,0,280.97,1,35.28,17.14
21.9,2.5,4,0,395.23,0,21.99,2.5
330.37,5.7,8,2,-144.27,0,18.36,56.44
197.36,3.0,6,0,-491.75,0,24.35,25.45
112.14,2.8,4,1,131.3,0,0.68,15.22
23.33,2.0,4,2,403.25,0,12.8,3.11
258.42,3.0,6,2,195.4,1,23.05,55.01
150.32,3.0,6,2,-324.1,0,38.83,20.07
96.51,3.0,6,1,32.81,0,12.07,11.26
430.47,3.4,6,0,-209.44,0,15.2,47.13
402.46,3.5,6,1,348.99,1,3.75,69.84
389.85,2.4,4,2,44.91,0,17.16,56.41
71.05,5.3,8,1,-207.91,0,41.39,9.55
86.53,5.3,8,2,-158.63,1,39.45,16.14
173.11,3.6,6,0,-413.49,1,37.35,14.77
299.52,2.5,4,0,86.91,1,3.48,17.92
180.56,2.0,4,2,-226.36,1,24.86,17.76
108.4,3.0,6,2,-372.92,1,9.03,12.87
222.89,2.0,4,1,78.84,0,30.37,21.74
469.78,2.0,4,2,56.05,0,32.42,57.75
60.42,2.0,4,2,-443.3,0,14.87,6.83
450.85,6.2,8,0,415.81,1,21.46,62.91
284.45,1.2,3,0,344.42,0,38.23,23.1
462.12,5.0,8,0,137.99,1,29.19,57.75
260.75,2.0,4,1,17.65,1,40.42,27.65
116.22,2.0,4,1,393.3,0,37.17,13.9
112.75,3.0,6,0,-485.52,0,24.65,9.12
241.33,3.0,6,2,-485.26,1,44.73,27.67
495.96,3.6,6,1,-427.52,0,23.56,47.15
439.83,2.0,4,0,127.13,0,25.82,36.11
449.39,4.0,8,0,475.35,0,33.22,75.64
355.83,3.0,6,1,88.4,1,16.94,37.34
267.58,2.0,4,0,37.48,1,14.12,20.61
250.46,3.6,6,1,-391.45,0,40.48,26.47
195.13,6.2,8,1,240.66,0,24.5,31.96
324.9,3.0,6,0,-27.54,0,1.38,35.77
353.45,2.0,4,0,-300.29,0,32.13,24.02
314.48,2.3,4,1,-475.57,0,30.51,29.84
118.66,2.0,4,2,368.67,1,44.3,16.58
342.42,2.5,4,1,-152.77,0,3.14,27.64
