make,model,engine_size,cylinders,mpg
Aston Martin,Vantage V8,4.0,8,21
Volkswagen Group Of,Chiron,8.0,16,11
General Motors,CORVETTE,6.2,8,15
Ferrari,488 gtb,3.9,8,18
Ferrari,488 Pista,3.9,8,17
Ferrari,488 Pista Spider,3.9,8,17
Ferrari,488 Spider,3.9,8,18
Ferrari,812 Superfast,6.5,12,13
Fca Us Llc,124 Spider,1.4,4,29
Jaguar Land Rover L,F-TYPE Convertible,2.0,4,26
Jaguar Land Rover L,F-TYPE Convertible,3.0,6,23
Jaguar Land Rover L,F-TYPE Convertible Manual,3.0,6,19
Jaguar Land Rover L,F-TYPE Coupe,2.0,4,26
Jaguar Land Rover L,F-TYPE Coupe,3.0,6,23
Jaguar Land Rover L,F-TYPE Coupe Manual,3.0,6,19
Jaguar Land Rover L,F-TYPE S AWD Convertible,3.0,6,21
Jaguar Land Rover L,F-TYPE S AWD Coupe,3.0,6,21
Jaguar Land Rover L,F-TYPE S Convertible,3.0,6,22
Jaguar Land Rover L,F-TYPE S Convertible Manual,3.0,6,18
Jaguar Land Rover L,F-TYPE S Coupe,3.0,6,22
Jaguar Land Rover L,F-TYPE S Coupe Manual,3.0,6,18
Volkswagen Group Of,Aventador Coupe,6.5,12,11
Volkswagen Group Of,Aventador Roadster,6.5,12,11
Mazda,MX-5,2.0,4,30
Nissan,370Z,3.7,6,22
Nissan,370Z Roadster,3.7,6,21
Porsche,911 GT2 RS,3.8,6,17
Porsche,911 GT3,4.0,6,17
Porsche,911 GT3 Touring,4.0,6,17
Porsche,Boxster,2.0,4,25
Porsche,Boxster GTS,2.5,4,22
Porsche,Boxster S,2.5,4,24
Porsche,Cayman,2.0,4,25
Porsche,Cayman GTS,2.5,4,22
Porsche,Cayman S,2.5,4,24
Aston Martin,DB11 V12,5.2,12,17
Aston Martin,DB11 V8,4.0,8,20
Ferrari,GTC4Lusso,6.3,12,13
Ferrari,GTC4Lusso T,3.9,8,17
Ferrari,Portofino,3.9,8,18
Bmw,COOPER CONVERTIBLE,1.5,3,30
Bmw,COOPER S CONVERTIBLE,2.0,4,28
Bmw,JOHN COOPER WORKS CONVERTIBLE,2.0,4,28
Porsche,911 Carrera,3.0,6,25
Porsche,911 Carrera 4,3.0,6,24
Porsche,911 Carrera 4 Cabriolet,3.0,6,24
Porsche,911 Carrera 4 GTS,3.0,6,22
Porsche,911 Carrera 4 GTS Cabriolet,3.0,6,22
Porsche,911 Carrera 4S,3.0,6,24
Porsche,911 Carrera 4S Cabriolet,3.0,6,24
Porsche,911 Carrera Cabriolet,3.0,6,24
Porsche,911 Carrera GTS,3.0,6,23
Porsche,911 Carrera GTS Cabriolet,3.0,6,22
Porsche,911 Carrera S,3.0,6,24
Porsche,911 Carrera S Cabriolet,3.0,6,24
Porsche,911 Carrera T,3.0,6,22
Porsche,911 Targa 4,3.0,6,24
Porsche,911 Targa 4 GTS,3.0,6,22
Porsche,911 Targa 4S,3.0,6,24
Porsche,911 Turbo,3.8,6,21
Porsche,911 Turbo Cabriolet,3.8,6,21
Porsche,911 Turbo S,3.8,6,21
Porsche,911 Turbo S Cabriolet,3.8,6,21
Subaru,BRZ,2.0,4,27
Toyota,86,2.0,4,27
Bmw,230i Convertible,2.0,4,27
Bmw,230i Coupe,2.0,4,28
Bmw,230i xDrive Convertible,2.0,4,27
Bmw,230i xDrive Coupe,2.0,4,27
Bmw,430i Convertible,2.0,4,27
Bmw,430i xDrive Convertible,2.0,4,26
Bmw,440i Convertible,3.0,6,24
Bmw,440i xDrive Convertible,3.0,6,23
Bmw,M2 Competition,3.0,6,19
Bmw,M240i Convertible,3.0,6,24
Bmw,M240i Coupe,3.0,6,24
Bmw,M240i Coupe M Performance,3.0,6,24
Bmw,M240i xDrive Convertible,3.0,6,24
Bmw,M240i xDrive Coupe,3.0,6,24
